Year,Month,Harbor name,Ship count,Weight
2012,1,기타,0,0
2012,2,부산,"1,459","33,342,805"
2012,2,인천,499,"9,808,900"
2012,2,평택.당진,391,"9,907,004"
2012,2,경인항,2,"30,760"
2012,2,동해.묵호,88,"997,676"
2012,2,삼척,11,"18,786"
2012,2,속초,3,"1,490"
2012,2,옥계,9,"161,279"
2012,2,호산,0,0
2012,2,대산,162,"3,492,475"
2012,2,보령,5,"242,954"
2012,2,태안,11,"649,434"
2012,2,군산,110,"2,983,328"
2012,2,장항,3,"9,930"
2012,2,목포,71,"1,494,770"
2012,2,완도,0,0
2012,2,여수,134,"4,021,259"
2012,2,광양,635,"17,332,225"
2012,2,포항,218,"3,106,061"
2012,2,마산,132,"2,287,742"
2012,2,삼천포,13,"653,957"
2012,2,옥포,7,"29,603"
2012,2,장승포,0,0
2012,2,진해,10,"55,398"
2012,2,통영,14,"6,893"
2012,2,고현,3,"4,488"
2012,2,하동,10,"671,318"
2012,2,울산,712,"14,013,797"
2012,2,제주,10,"178,117"
2012,2,서귀포,0,0
2012,2,기타,0,0
2012,3,부산,"1,711","39,873,374"
2012,3,인천,567,"11,416,245"
2012,3,평택.당진,441,"10,453,874"
2012,3,경인항,0,0
2012,3,동해.묵호,88,"1,013,755"
2012,3,삼척,9,"14,538"
2012,3,속초,0,0
2012,3,옥계,3,"83,960"
2012,3,호산,0,0
2012,3,대산,168,"3,461,196"
2012,3,보령,8,"370,925"
2012,3,태안,11,"637,750"
2012,3,군산,127,"2,891,145"
2012,3,장항,3,"8,254"
2012,3,목포,72,"2,013,040"
2012,3,완도,0,0
2012,3,여수,139,"4,439,161"
2012,3,광양,690,"19,699,383"
2012,3,포항,231,"3,205,940"
2012,3,마산,129,"2,209,410"
2012,3,삼천포,14,"514,286"
2012,3,옥포,9,"55,902"
2012,3,장승포,0,0
2012,3,진해,14,"151,101"
2012,3,통영,15,"7,363"
2012,3,고현,2,"2,871"
2012,3,하동,11,"611,676"
2012,3,울산,752,"15,202,217"
2012,3,제주,16,"444,172"
