,Year,Month,Harbor name,Ship count,Weight
713,2011,11,호산,0,0
714,2011,11,대산,139,"2,841,631"
715,2011,11,보령,8,"414,269"
716,2011,11,태안,16,"795,188"
717,2011,11,군산,129,"2,740,422"
718,2011,11,장항,5,"11,278"
719,2011,11,목포,77,"1,789,058"
720,2011,11,완도,1,498
721,2011,11,여수,121,"3,933,447"
722,2011,11,광양,641,"18,443,654"
723,2011,11,포항,227,"3,093,379"
724,2011,11,마산,142,"2,160,719"
725,2011,11,삼천포,12,"450,597"
726,2011,11,옥포,5,"17,211"
727,2011,11,장승포,0,0
728,2011,11,진해,15,"155,343"
729,2011,11,통영,14,"12,922"
730,2011,11,고현,6,"18,580"
731,2011,11,하동,14,"690,412"
732,2011,11,울산,679,"13,760,672"
733,2011,11,제주,6,"94,621"
734,2011,11,서귀포,0,0
735,2011,11,기타,0,0
736,2011,12,항만명,"5,254","118,681,472"
737,2011,12,부산,"1,701","39,076,304"
738,2011,12,인천,595,"11,259,167"
